FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value,Breakdown of Scotland's carbon footprint
S92000003,Scotland,Country,2015,Count,Mt Co2Equiv,23.11276069,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2011,Count,Mt Co2Equiv,24.72708032,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2010,Count,Mt Co2Equiv,26.48919849,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2012,Count,Mt Co2Equiv,25.87355878,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,1999,Count,Mt Co2Equiv,17.62713761,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,1998,Count,Mt Co2Equiv,18.02450477,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2000,Count,Mt Co2Equiv,16.74165632,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2017,Count,Mt Co2Equiv,17.74264452,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2016,Count,Mt Co2Equiv,19.6291458,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2018,Count,Mt Co2Equiv,17.77619801,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2002,Count,Mt Co2Equiv,30.33516204,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2001,Count,Mt Co2Equiv,31.1408326,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2003,Count,Mt Co2Equiv,30.89433949,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,1999,Count,Mt Co2Equiv,31.1854858,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,1998,Count,Mt Co2Equiv,33.13728208,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2000,Count,Mt Co2Equiv,31.05625369,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2008,Count,Mt Co2Equiv,28.98985203,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2007,Count,Mt Co2Equiv,30.82296985,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2009,Count,Mt Co2Equiv,26.60983315,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2005,Count,Mt Co2Equiv,31.21563829,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2004,Count,Mt Co2Equiv,30.77582843,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2006,Count,Mt Co2Equiv,30.89977469,UK production emissions attributable to Scottish final consumption
S92000003,Scotland,Country,2017,Count,Mt Co2Equiv,13.57084027,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2016,Count,Mt Co2Equiv,13.5413935,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2018,Count,Mt Co2Equiv,14.74119279,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2014,Count,Mt Co2Equiv,20.92153564,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2013,Count,Mt Co2Equiv,21.11355787,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2015,Count,Mt Co2Equiv,19.97895516,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2002,Count,Mt Co2Equiv,11.23181105,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2001,Count,Mt Co2Equiv,9.233497756,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2003,Count,Mt Co2Equiv,11.93109457,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,1999,Count,Mt Co2Equiv,9.198676969,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,1998,Count,Mt Co2Equiv,9.399968934,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2000,Count,Mt Co2Equiv,10.27768377,Emissions embedded in imports direct to Scottish final consumption
S92000003,Scotland,Country,2005,Count,Mt Co2Equiv,20.33103162,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2004,Count,Mt Co2Equiv,20.90950393,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2006,Count,Mt Co2Equiv,21.86355756,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2002,Count,Mt Co2Equiv,18.36020257,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2001,Count,Mt Co2Equiv,16.0459475,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2003,Count,Mt Co2Equiv,17.33704427,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2011,Count,Mt Co2Equiv,19.24586629,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2010,Count,Mt Co2Equiv,18.11213077,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2012,Count,Mt Co2Equiv,20.49077373,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2008,Count,Mt Co2Equiv,21.26234114,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2007,Count,Mt Co2Equiv,23.21777729,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
S92000003,Scotland,Country,2009,Count,Mt Co2Equiv,18.47268153,"Emissions embedded in imports consumed by UK industry, attributable to Scottish final consumption"
